"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010/2011","Alberta","2016A000248","Transport expenditures","Dollars","81","millions","6","v123220300","10.1","2684.9","","","","1"
"2010/2011","Alberta","2016A000248","Population","Persons","249","thousands","3","v123220301","10.2","3747.5","","","","1"
"2010/2011","Alberta","2016A000248","Per capita transport expenditures","Dollars","81","units ","0","v123220302","10.3","716.5","","","","1"
"2010/2011","British Columbia","2016A000259","Transport expenditures","Dollars","81","millions","6","v123220303","11.1","2668.8","","","","1"
"2010/2011","British Columbia","2016A000259","Population","Persons","249","thousands","3","v123220304","11.2","4483.7","","","","1"
"2010/2011","British Columbia","2016A000259","Per capita transport expenditures","Dollars","81","units ","0","v123220305","11.3","595.2","","","","1"
"2010/2011","Yukon","2016A000260","Transport expenditures","Dollars","81","millions","6","v123220306","12.1","99.7","","","","1"
"2010/2011","Yukon","2016A000260","Population","Persons","249","thousands","3","v123220307","12.2","34.8","","","","1"
"2010/2011","Yukon","2016A000260","Per capita transport expenditures","Dollars","81","units ","0","v123220308","12.3","2865.2","","","","1"
"2010/2011","Northwest Territories","2016A000261","Transport expenditures","Dollars","81","millions","6","v123220309","13.1","352.8","","","","1"
"2010/2011","Northwest Territories","2016A000261","Population","Persons","249","thousands","3","v123220310","13.2","43.3","","","","1"
"2010/2011","Northwest Territories","2016A000261","Per capita transport expenditures","Dollars","81","units ","0","v123220311","13.3","8148.6","","","","1"
"2010/2011","Nunavut","2016A000262","Transport expenditures","Dollars","81","millions","6","v123220312","14.1","40.1","","","","1"
"2010/2011","Nunavut","2016A000262","Population","Persons","249","thousands","3","v123220313","14.2","33.6","","","","1"
"2010/2011","Nunavut","2016A000262","Per capita transport expenditures","Dollars","81","units ","0","v123220314","14.3","1193.3","","","","1"
"2011/2012","Canada","2016A000011124","Transport expenditures","Dollars","81","millions","6","v123220273","1.1","16098.8","","","","1"
"2011/2012","Canada","2016A000011124","Population","Persons","249","thousands","3","v123220274","1.2","34469.3","","","","1"
"2011/2012","Canada","2016A000011124","Per capita transport expenditures","Dollars","81","units ","0","v123220275","1.3","467.0","","","","1"
"2011/2012","Newfoundland and Labrador","2016A000210","Transport expenditures","Dollars","81","millions","6","v123220276","2.1","476.3","","","","1"
"2011/2012","Newfoundland and Labrador","2016A000210","Population","Persons","249","thousands","3","v123220277","2.2","525.9","","","","1"
"2011/2012","Newfoundland and Labrador","2016A000210","Per capita transport expenditures","Dollars","81","units ","0","v123220278","2.3","905.7","","","","1"
"2011/2012","Prince Edward Island","2106A000211","Transport expenditures","Dollars","81","millions","6","v123220279","3.1","127.1","","","","1"
"2011/2012","Prince Edward Island","2106A000211","Population","Persons","249","thousands","3","v123220280","3.2","144.5","","","","1"
"2011/2012","Prince Edward Island","2106A000211","Per capita transport expenditures","Dollars","81","units ","0","v123220281","3.3","879.7","","","","1"
"2011/2012","Nova Scotia","2016A000212","Transport expenditures","Dollars","81","millions","6","v123220282","4.1","602.5","","","","1"
"2011/2012","Nova Scotia","2016A000212","Population","Persons","249","thousands","3","v123220283","4.2","945.3","","","","1"
"2011/2012","Nova Scotia","2016A000212","Per capita transport expenditures","Dollars","81","units ","0","v123220284","4.3","637.4","","","","1"
"2011/2012","New Brunswick","2016A000213","Transport expenditures","Dollars","81","millions","6","v123220285","5.1","441.8","","","","1"
"2011/2012","New Brunswick","2016A000213","Population","Persons","249","thousands","3","v123220286","5.2","755.7","","","","1"
"2011/2012","New Brunswick","2016A000213","Per capita transport expenditures","Dollars","81","units ","0","v123220287","5.3","584.6","","","","1"
"2011/2012","Quebec","2016A000224","Transport expenditures","Dollars","81","millions","6","v123220288","6.1","5259.0","","","","1"
"2011/2012","Quebec","2016A000224","Population","Persons","249","thousands","3","v123220289","6.2","8031.4","","","","1"
"2011/2012","Quebec","2016A000224","Per capita transport expenditures","Dollars","81","units ","0","v123220290","6.3","654.8","","","","1"
"2011/2012","Ontario","2016A000235","Transport expenditures","Dollars","81","millions","6","v123220291","7.1","2641.2","","","","1"
"2011/2012","Ontario","2016A000235","Population","Persons","249","thousands","3","v123220292","7.2","13317.1","","","","1"
